<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.23	12:00:00	1.08491	1.08622	1.08443	1.08607	4030	0	0
2023.06.23	13:00:00	1.08606	1.08721	1.08606	1.08682	3133	0	0
2023.06.23	14:00:00	1.08683	1.08793	1.08661	1.08761	3171	0	0
2023.06.23	15:00:00	1.08762	1.08955	1.08762	1.08873	5294	0	0
2023.06.23	16:00:00	1.08873	1.09026	1.08833	1.08834	6299	0	0
2023.06.23	17:00:00	1.08833	1.08986	1.08789	1.08825	6472	0	0
2023.06.23	18:00:00	1.08824	1.08922	1.08789	1.08860	3772	0	0
2023.06.23	19:00:00	1.08862	1.08897	1.08826	1.08856	2975	0	0
2023.06.23	20:00:00	1.08858	1.08962	1.08858	1.08948	2291	0	0
2023.06.23	21:00:00	1.08947	1.08950	1.08885	1.08919	1808	0	0
2023.06.23	22:00:00	1.08919	1.08942	1.08873	1.08912	1792	0	0
2023.06.23	23:00:00	1.08912	1.08948	1.08904	1.08945	597	0	0
2023.06.26	00:00:00	1.09003	1.09025	1.08989	1.09004	152	0	16
2023.06.26	01:00:00	1.09005	1.09070	1.08851	1.09067	858	0	0
2023.06.26	02:00:00	1.09066	1.09066	1.09030	1.09064	1263	0	0
2023.06.26	03:00:00	1.09064	1.09094	1.08989	1.09053	2814	0	0
2023.06.26	04:00:00	1.09053	1.09098	1.09017	1.09037	2821	0	0
2023.06.26	05:00:00	1.09037	1.09092	1.09033	1.09048	2190	0	0
2023.06.26	06:00:00	1.09047	1.09093	1.09038	1.09061	1439	0	0
2023.06.26	07:00:00	1.09060	1.09082	1.08997	1.09025	1249	0	0
2023.06.26	08:00:00	1.09024	1.09099	1.09022	1.09071	2057	0	0
2023.06.26	09:00:00	1.09069	1.09109	1.08977	1.09031	3262	0	0
2023.06.26	10:00:00	1.09032	1.09083	1.08954	1.09025	4907	0	0
2023.06.26	11:00:00	1.09024	1.09034	1.08873	1.08920	4320	0	0
